code,description_en,description_no
38519600,"Microscope eyepieces, condensers, collectors, tubes, stages and covers","Mikroskopokularer, -kondensatorer, -samlere, -tuber, -deksler og objektbord"
38519610,"Microscope eyepieces",Mikroskopokularer
38519620,"Microscope condensers",Mikroskopkondensatorer
38519630,"Microscope collectors",Mikroskopsamlere
38519640,"Microscope tubes",Mikroskoptuber
38519650,"Microscope stages",Objektbord
38519660,"Microscope covers",Mikroskopdeksler
38520000,Scanners,Scannere
38521000,"Pressure scanners",Trykkskannere
38522000,"Chromatographic scanners",Kromatografiskannere
38530000,"Diffraction apparatus",Diffraktografer
38540000,"Machines and apparatus for testing and measuring","Maskiner og apparatur til prøving og måling"
38541000,"Solderability testers","Loddeevne målere"
38542000,"Servo-hydraulic test apparatus","Servohydraulisk prøveapparatur"
38543000,"Gas-detection equipment",Gassdeteksjonsutstyr
38544000,"Drug detection apparatus","Utstyr til detektering av narkotika"
38545000,"Gas-testing kits",Gassanalysesett
38546000,"Explosives detection system","Utstyr til detektering og sporing av sprengstoff"
38546100,"Bomb detectors",Bombedetektorer
38547000,"Dosimetry system",Dosimetrisystem
38548000,"Instruments for vehicles","Instrumenter til kjøretøyer"
38550000,Meters,Målere
38551000,"Energy meters",Energimålere
38552000,"Electronic meters","Elektroniske målere"
38553000,"Magnetic meters","Magnetiske målere"
38554000,"Electricity meters",Elektrisitetsmålere
38560000,"Production counters",Produksjonstellere
38561000,"Revolution counters",Turtellere
38561100,"Speed indicators for vehicles",Speedometre
38561110,Tachometers,Tachometre
38561120,"Taxi meters",Takstometre
38562000,Stroboscopes,Stroboskoper
38570000,"Regulating and controlling instruments and apparatus","Instrumenter og apparatur til automatisk regulering og styring"
38571000,"Speed limiters",Hastighetsregulatorer
38580000,"Non-medical equipment based on the use of radiations","Ikke-medisinsk utstyr basert på anvendelse av stråler"
38581000,"Baggage-scanning equipment","Utstyr til scanning og gjennomlysing av bagasje"
38582000,"X-ray inspection equipment",Røntgenkontrollutstyr
38600000,"Optical instruments","Optiske instrumenter"
38620000,"Polarising material","Polariserende materialer"
38621000,"Fibre-optic apparatus","Fiberoptisk apparatur"
38622000,Mirrors,Speil
38623000,"Optical filters","Optiske filtre"
38624000,"Optical aids","Optiske hjelpemidler"
38630000,"Astronomical and optical instruments","Astronomiske og optiske instrumenter"
38631000,Binoculars,Kikkerter
38632000,Nightglasses,Nattkikkerter
38633000,"Telescopic sights",Kikkertsikter
38634000,"Optical microscopes","Optiske mikroskoper"
38635000,Telescopes,Teleskoper
38636000,"Specialist optical instruments","Optiske spesialinstrumenter"
38636100,Lasers,Lasere
38636110,"Industrial lasers",Industrilasere
38640000,"Liquid crystal devices","Innretninger med flytende krystaller"
38641000,Periscopes,Periskoper
38650000,"Photographic equipment","Fotografisk utstyr"
38651000,Cameras,Kameraer
38651100,"Camera lenses","Objektiver til kameraer"
38651200,"Camera bodies",Kamerahus
38651300,"Cameras for preparing printing plates or cylinders","Reprokameraer til fremstilling av trykkplater og trykksylindre"
38651400,"Instant print cameras",Polaroidkameraer
38651500,"Cinematographic cameras",Filmkameraer
38651600,"Digital cameras",Digitalkameraer
38652000,"Cinematographic projectors",Filmprosjektorer
38652100,Projectors,Prosjektorer
38652110,"Slide projectors",Lysbildeapparater
38652120,"Video projectors",Videofremvisere
38652200,Enlargers,Forstørrelsesapparater
38652300,Reducers,Nedfotograferingsutstyr
38653000,"Apparatus for photographic laboratories","Apparatur til fotolaboratorier"
38653100,Flashlights,Blitzlamper
38653110,"Photographic flashbulbs","Blitzpærer til fotografi"
38653111,"Photographic flashcubes","Blitzterninger til fotografi"
38653200,"Photographic enlargers","Forstørrelsesapparater til fotografi"
38653300,"Apparatus and equipment for developing film","Apparatur og utstyr til fremkalling av film"
38653400,"Projection screens",Projeksjonsskjermer
38654000,"Microfilm and microfiche equipment","Mikrofilm- og mikroficheutstyr"
38654100,"Microfilm equipment",Mikrofilmutstyr
38654110,"Microfilm readers",Mikrofilmlesere
38654200,"Microfiche equipment",Mikroficheutstyr
38654210,"Microfiche readers",Mikrofichelesere
38654300,"Microform equipment",Mikroformutstyr
38654310,"Microform readers",Mikroformlesere
38700000,"Time registers and the like; parking meters","Tidsmålere og liknende; parkometer"
38710000,"Time registers",Tidsstempler
38720000,"Time recorders",Kontrollur
38730000,"Parking meters",Tidsbrytere
38731000,"Token meters",Jetongautomater
38740000,"Process timers",Timere
38750000,"Time switches",Tidsavbrytere
38800000,"Industrial process control equipment and remote-control equipment","Industriell prosesstyringsanlegg og fjernstyringsutstyr"
38810000,"Industrial process control equipment","Industriell prosesstyringsanlegg"
38820000,"Remote-control equipment",Fjernstyringsutstyr
38821000,"Radio remote-control apparatus",Radiofjernstyringsapparater
38822000,"Remote-control siren devices","Fjernbetjente sireneanordninger"
38900000,"Miscellaneous evaluation or testing instruments","Diverse evaluerings- eller testinstrumenter"
38910000,"Hygiene monitoring and testing equipment","Hygienemåling og testutstyr"
38911000,"Manual swab test kits","Manuell vattpinne testkit"
38912000,"Automated swab test kits","Automatisk vattpinne testkit"
38920000,"Seed and feed equipment","Analyseutstyr til korn og fôr"
38921000,"Grain analysers",Kornanalyseapparater
38922000,"Seed counters",Frøtellere
38923000,"Feed analysers",Fôranalyseapparater
38930000,"Humidity and moisture measuring instruments","Måleinstrumenter for luft- og temperaturfuktighet"
38931000,"Temperature humidity testers","Testapparater for temperaturfuktighet"
38932000,"Moisture meters",Fuktighetsmålere
38940000,"Nuclear evaluation instruments","Måleinstrumenter til kjernepartikler"
38941000,"Alpha counters",Alfatellere
38942000,"Alpha beta counters",Alfabetatellere
38943000,"Beta counters",Betatellere
38944000,"Beta gamma counters",Betagammatellere
38945000,"Gamma counters",Gammatellere
38946000,"KVP meters",KVP-målere
38947000,"X-ray microanalysers",Røntgenmikroanalysatorer
38950000,"Polymerase Chain Reaction (PCR) equipment","Polymerasekjedereaksjon (PCR) utstyr"
38951000,"Real-time Polymerase Chain Reaction (PCR) equipment","Sanntid polymerasekjedereaksjon (PCR) utstyr"
38960000,"Alcohol ignition lock",Alkolås
38970000,"Research, testing and scientific technical simulator","Teknisk simulator til forskning, testing og vitenskap"
39000000,"Furniture (incl. office furniture), furnishings, domestic appliances (excl. lighting) and cleaning products","Møbler (inkludert kontor møbler), inventar, husholdningsmaskiner, (utenom belysning) og rengjøringsmidler"
39100000,Furniture,Møbler
39110000,"Seats, chairs and related products, and associated parts","Seter, stoler med tilhørende produkter og deler"
39111000,Seats,Seter
39111100,"Swivel seats",Dreiestoler
39111200,"Theatre seats",Kinostoler
39111300,"Ejector seats",Katapultseter
39112000,Chairs,Stoler
39112100,"Dining chairs",Spisestuestoler
39113000,"Miscellaneous seats and chairs","Diverse seter og stoler"
39113100,Armchairs,Lenestoler
39113200,Settees,Sofaer
39113300,"Bench seats",Benkeseter
39113400,"Deck chairs",Liggestoler
39113500,Stools,Krakker
39113600,Benches,Benker
39113700,Footrests,Fotskamler
39114000,"Parts of seats","Deler til seter"
39114100,Upholstering,Møbelpolstring
39120000,"Tables, cupboards, desk and bookcases","Bord, skap, skrivebord og bokhyller"
39121000,"Desks and tables","Skrivebord og bord"
39121100,Desks,Skrivebord
39121200,Tables,Bord
39122000,"Cupboards and bookcases","Skap og bokhyller"
39122100,Cupboards,Skap
39122200,Bookcases,Bokhyller
39130000,"Office furniture",Kontormøbler
39131000,"Office shelving",Kontorhyller
39131100,"Archive shelving",Arkivhyller
39132000,"Filing systems",Arkivsystem
39132100,"Filing cabinets",Arkivskap
39132200,"Card-index cabinets",Kartotekskap
39132300,"Hanging files",Hengemapper
39132400,"Carousel systems","Roterende arkivsystemer"
39132500,"Office trolleys","Rullebord til kontor"
39133000,"Display units","Utstillingsenheter, monter"
39134000,"Computer furniture",Datamaskinmøbler
39134100,"Computer tables",Datamaskinbord
39135000,"Sorting tables",Sorteringsbord
39135100,"Sorting frames",Sorteringsrammer
39136000,"Coat hangers",Kleshengere
39137000,"Water softeners",Vannbløtgjøringsutstyr
39140000,"Domestic furniture",Husholdningsmøbler
39141000,"Kitchen furniture and equipment","Kjøkkenmøbler og utstyr"
39141100,Shelves,Hyller
39141200,Worktops,Benkeplater
39141300,Cabinets,Skap
39141400,"Fitted kitchens",Elementkjøkkener
39141500,"Fume cupboards",Avtrekkskap
39142000,"Garden furniture",Hagemøbler
39143000,"Bedroom, dining room and living-room furniture","Soveroms-, spisestue og dagligstuemøbler"
39143100,"Bedroom furniture",Soveromsmøbler
39143110,"Beds and bedding and specialist soft furnishings","Senger og sengetøy og boligtekstiler til spesielle formål"
39143111,"Mattress supports",Sengebunner
39143112,Mattresses,Madrasser
39143113,"Specialist soft furnishings","Boligtekstiler til spesielle formål"
39143114,"Electric blankets","Elektriske varmetepper"
39143115,"Rubber sheets",Gummilakener
39143116,Cots,"Barnesenger, sprinkelsenger"
39143120,"Bedroom furniture, other than beds and beddings","Soveromsmøbler, unntatt senger og sengetøy"
39143121,Wardrobes,Klesskap
39143122,"Chests of drawers",Kommoder
39143123,"Bedside tables",Nattbord
39143200,"Dining-room furniture",Spisestuemøbler
39143210,"Dining tables",Spisebord
39143300,"Living-room furniture",Dagligstuemøbler
39143310,"Coffee tables","Kaffebord, salongbord"
39144000,"Bathroom furniture",Baderomsmøbler
39145000,"Wine cellar fixtures","Fast tilbehør til vinkjeller"
39150000,"Miscellaneous furniture and equipment","Diverse møbler og utstyr"
39151000,"Miscellaneous furniture","Diverse møbler"
39151100,Racking,Reolsystemer
39151200,"Work benches",Arbeidsbenker
39151300,"Modular furniture",Modulmøbler
39152000,"Mobile bookshelves","Mobile bokreoler"
39153000,"Conference-room furniture","Møbler til møterom"
39153100,Bookstands,Bokstativer
39154000,"Exhibition equipment",Utstillingsutstyr
39154100,"Exhibition stands",Utstillingsstander
39155000,"Library furniture",Biblioteksmøbler
39155100,"Library equipment",Biblioteksutstyr
39156000,"Lounge and reception-area furniture","Møbler til venterom og resepsjoner"
39157000,"Parts of furniture","Deler til møbler"
39160000,"School furniture",Skolemøbler
39161000,"Kindergarten furniture",Barnehagemøbler
39162000,"Educational equipment","Pedagogisk utstyr"
39162100,"Teaching equipment",Undervisningsutstyr
39162110,"Teaching supplies",Undervisningsmaterialer
39162200,"Training aids and devices","Undervisningshjelpemidler og -apparater"
39170000,"Shop furniture",Butikkmøbler
39171000,"Display cases","Utstillingsmontre, utstillingsdisk, utstillingsskap"
39172000,Counters,Disker
39172100,"Servery counters",Serveringsdisk
39173000,"Storage units",Lagerenheter
39174000,"Shop signs",Butikkskilt
39180000,"Laboratory furniture",Laboratoriemøbler
39181000,"Laboratory benching",Laboratoriebenk
39190000,"Wallpaper and other coverings","Tapet og annen bekledning"
39191000,"Paper- or paperboard-based wall coverings","Veggbekledning av papir- eller papp"
39191100,Wallpaper,Tapet
39192000,"Textile wall coverings","Veggbekledning av tekstilmaterialer"
39193000,"Paper- or paperboard-based floor coverings","Gulvbelegg av papir eller papp"
39200000,Furnishing,Inventar
39220000,"Kitchen equipment, household and domestic items and catering supplies","Kjøkkenutstyr, husholdningsartikler, forsyning til hjemmet og catering"
39221000,"Kitchen equipment",Kjøkkenutstyr
39221100,Kitchenware,Kjøkkenprodukter
39221110,Crockery,"Servise, porselen, steintøy"
39221120,"Cups and glasses","Kopper og glass"
39221121,Cups,Kopper
39221122,Cuplets,"Små kopper"
39221123,"Drinking glasses",Drikkeglass
39221130,"Food containers","Oppbevaringsbokser til mat"
39221140,"Water canteens",Feltflasker
39221150,"Vacuum flasks",Termosflasker
39221160,Trays,Brett
39221170,"Drying racks",Tørkestativ
39221180,"Cooking utensils",Kjøkkenredskaper
39221190,"Plate racks",Oppvaskstativer
39221200,Tableware,Dekketøy
39221210,Plates,Tallerkener
39221220,Dishes,Asjetter
39221230,Saucers,Fat
39221240,Bowls,Skåler
39221250,Decanters,Karafler
39221260,"Mess tins",Kokekar
39222000,"Catering supplies","Produkter til cateringvirksomhet"
39222100,"Disposable catering supplies","Engangsprodukter til cateringvirksomhet"
39222110,"Disposable cutlery and plates","Engangsbestikk og -tallerker"
39222120,"Disposable cups",Engangskopper
39222200,"Food trays",Matbrett
39223000,"Spoons, forks","Skjeer, gafler"
39223100,Spoons,Skjeer
39223200,Forks,Gafler
39224000,"Brooms and brushes and other articles of various types","Koster og børster og andre artikler av forskjellige slag"
39224100,Brooms,Koster
39224200,Brushes,Børster
39224210,"Painters' brushes",Malerpensler
39224300,"Brooms and brushes and other articles for household cleaning","Koster og børster og andre artikler til husrengjøring"
39224310,"Toilet brushes",Toalettbørster
39224320,Sponges,Svamper
39224330,Buckets,Bøtter
39224340,Bins,Bøtter
39224350,Dustpans,Feiebrett
39225000,"Lighters, articles of combustible materials, pyrotechnics, matches and liquid or liquefied gas fuels","Lightere; artikler av brennbart materiale; pyroteknikk, fyrstikker og flytende brensel eller flytende gass"
39225100,"Cigarette lighters",Lightere
39225200,"Pyrophoric alloys","Selvantennelige blandinger/legeringer"
39225300,Matches,Fyrstikker
39225400,"Gas fuels for lighters","Gass til lightere"
39225500,Pyrotechnics,Pyroteknikk
39225600,Candles,Stearinlys
39225700,"Bottles, jars and phials","Flasker, krukker og medisinglass"
39225710,Bottles,Flasker
39225720,Jars,Krukker
39225730,Phials,Medisinglass
39226000,"Carboys, bottle cases, flasks and bobbins","Glassballonger, flaskekasser, flasker og sneller"
39226100,"Bottle cases",Flaskekasser
39226200,"Carboys and flasks","Plastballonger og flasker"
39226210,Carboys,Glassballonger
39226220,Flasks,Flasker
39226300,"Spools or bobbins","Spoler og sneller"
39227000,"Sewing and knitting needles, and thimbles","Synåler, strikkepinner og fingerbøl"
39227100,"Sewing needles or knitting needles","Synåler eller strikkepinner"
39227110,"Sewing needles",Synåler
39227120,"Knitting needles",Strikkepinner
39227200,Thimbles,Fingerbøl
39230000,"Special-purpose product","Produkter til spesielle formål"
39234000,"Compost boxes",Kompostkasser
39235000,Tokens,Polletter
39236000,"Spray booths",Sprøytebokser
39237000,"Snow poles",Snøstaker
39240000,Cutlery,Bestikk
39241000,"Knives and scissors","Kniver og sakser"
39241100,Knives,Kniver
39241110,"Table knives",Bordkniver
39241120,"Cooks' knives","Kokkekniver, kjøkkenkniver"
39241130,"Utility knives",Verktøykniver
39241200,Scissors,Sakser
39260000,"Delivery trays and desk equipment","Leveringsbrett og skrivebordsutstyr"
39261000,"Delivery trays",Brevkurver
39263000,"Desk equipment",Skrivebordsutstyr
39263100,"Desk sets",Skrivebordssett
39264000,"Fittings for loose-leaf binders or files","Tilbehør til ringpermer eller mapper"
39265000,"Hooks and eyes","Kroker og øyeskruer"
39270000,"Religious articles","Religiøst materiell"
39290000,"Miscellaneous furnishing","Diverse inventar"
39291000,"Laundry supplies","Artikler til vaskerier"
39292000,"School slates or boards with writing or drawing surfaces or instruments","Skoletavler eller tavler med skrive- og tegneoverflate eller instrumenter"
39292100,Blackboards,"Tavler (krittavler)"
39292110,"Erasers for blackboards","Visker til tavler"
39292200,"Writing slates",Skrivetavler
39292300,"Drawing instruments",Tegneinstrumenter
39292400,"Writing instruments",Skrivesaker
39292500,Rulers,Linjaler
39293000,"Artificial products","Kunstige produkt"
39293100,"Artificial fruit","Kunstige frukter"
39293200,"Artificial flowers","Kunstige blomster"
39293300,"Artificial grass",Kunstgress
39293400,"Artificial lawn","Kunstige gressplener"
39293500,"Imitation jewellery","Bijouterivarer, uekte smykker"
39294000,"Apparatus and equipment designed for demonstrational purposes","Apparater og utstyr til demonstrasjonsbruk"
39294100,"Information and promotion products","Informasjons- og markedsføringsprodukter"
39295000,"Umbrellas and sunshades; walking sticks and seat sticks","Paraplyer og parasoller, spaserstokker og sittestokker"
39295100,Sunshades,Parasoller
39295200,Umbrellas,Paraplyer
39295300,"Seat sticks",Sittestokker
39295400,"Walking sticks",Spaserstokker
39295500,"Parts, trimmings and accessories of umbrellas, sunshades, walking sticks and similar articles","Deler, beslag og tilbehør til paraplyer, parasoller, spaserstokker og liknende artikler"
39296000,"Funeral supplies",Begravelsesartikler
39296100,Coffins,Kister
39297000,"Barracks supplies","Leveranser til kaserner"
39298000,"Statuettes, ornaments; photograph or picture frames, and mirrors","Statuetter, pyntegjenstander; rammer til fotografier, bilder, speil"
39298100,"Photograph frames","Rammer til fotografier"
39298200,"Picture frames","Rammer til bilder"
39298300,"Flower bowls",Blomsterpotter
39298400,Statuettes,Statuetter
39298500,Ornaments,Pyntegjenstander
39298600,Globes,Kuler
39298700,Trophies,Trofeer
39298800,Aquariums,Akvarium
39298900,"Miscellaneous decoration items","Diverse pyntegjenstander"
39298910,"Christmas tree",Juletrær
39299000,Glassware,Glasstøy
39299100,"Glass ampoules",Glassampuller
39299200,"Safety glass",Sikkerhetsglass
39299300,"Glass mirrors",Glasspeil
39300000,"Miscellaneous equipment","Diverse utstyr"
39310000,"Catering equipment",Cateringutstyr
39311000,"Light catering equipment","Lett cateringutstyr"
39312000,"Food-preparation equipment","Utstyr til mattilberedning"
39312100,"Meat slicers","Skjæremaskiner for kjøtt"
39312200,"Canteen equipment",Kantineutstyr
39313000,"Hotel equipment",Hotellutstyr
39314000,"Industrial kitchen equipment","Industrielt kjøkkenutstyr"
39315000,"Restaurant equipment",Restaurantutstyr
39330000,"Disinfection equipment",Desinfeksjonsutstyr
39340000,"Gas network equipment","Utstyr til gassnett"
39341000,"Gas pressure equipment",Gasstrykksutstyr
39350000,"Sewerage works equipment","Utstyr til avløpsarbeid"
39360000,"Sealing equipment",Forseglingsutstyr
39370000,"Water installations",Vanninstallasjoner
39500000,"Textile articles","Tekstilvarer til husholdningsbruk"
39510000,"Textile household articles","Tepper og reisepledd"
39511000,"Blankets and travelling rugs",Tepper
39511100,Blankets,Reisepledd
39511200,"Travelling rugs",Sengelintøy
39512000,"Bed linen",Laken
39512100,Sheets,Dynetrekk
39512200,"Duvet covers","Trekk til madrasser"
39512300,"Mattress covers",Dundyner
39512400,Eiderdowns,Putetrekk
39512500,Pillowcases,"Trekk til underlagsmadrasser"
39512600,Bolstercases,"Lintøy for bord"
39513000,"Table linen",Bordduker
39513100,Tablecloths,Bordservietter
39513200,"Table napkins","Bad og kjøkkenhåndklær"
39514000,"Toilet and kitchen linen",Håndklær
39514100,Towels,Kjøkkenhåndklær
39514200,"Tea towels",Oppvaskhåndklær
39514300,"Roller towels","Håndklær på ruller"
39514400,"Automatic towel dispensers","Automatiske håndkledispensere"
39514500,"Face cloths",Vaskekluter
39515000,"Curtains, drapes, valances and textile blinds","Gardiner, forheng, gardinkapper og rullegardiner"
39515100,Curtains,Gardiner
39515110,"Smoke curtains","Tunge gardiner (Røkgardiner)"
39515200,Drapes,Forheng
39515300,Valances,Gardinkapper
39515400,Blinds,Rullegardiner
39515410,"Interior blinds","Persienner til innendørsbruk"
39515420,"Textile blinds","Rullegardiner av textilmaterial"
39515430,"Venetian blinds",Persienner
39515440,"Vertical blinds","Vertikale persienner"
39516000,"Furnishing articles",Innredningssartikler
39516100,"Soft furnishings",Innredningstekstiler
39516110,Cushions,Puter
39516120,Pillows,Hodeputer
39518000,"Hospital linen",Sykehuslintøy
39518100,"Operating-theatre drapes",Operasjonsstueduker
39518200,"Operating-theatre sheets",Operasjonsstuelakener
39520000,"Made-up textile articles","Ferdige tekstilvarer"
39522000,"Tarpaulins, sails for boats, sailboards or land craft, awnings, sunblinds, tents and camping goods","Presenninger, seil til båter, seilbrett eller seilvogner, solseil, markiser, telt og campingutstyr"
39522100,"Tarpaulins, awnings and sunblinds","Presenninger, solseil og solskjerm"
39522110,Tarpaulins,Presenninger
39522120,Awnings,Solseil
39522130,Sunblinds,Markiser
39522200,"Camouflage covers",Kamuflasjeovertrekk
39522400,Sails,Seil
39522500,"Textile camping goods","Campingutstyr av tekstil"
39522510,"Pneumatic mattresses",Luftmadrasser
39522520,"Camp beds","Camping senger"
39522530,Tents,Telt
39522540,"Sleeping bags",Soveposer
39522541,"Sleeping bags filled with feathers or down","Soveposer fylt med fjær eller dun"
39523000,Parachutes,Fallskjermer
39523100,"Dirigible parachutes","Styrbare fallskjermer"
39523200,Rotochutes,Rotochutes
39525000,"Miscellaneous manufactured textile articles","Diverse bearbeidete tekstilvarer"
39525100,Dusters,Støvkluter
39525200,"Filter elements of cloth",Stoffilter
39525300,"Life jackets",Redningsvester
39525400,"Fire blankets",Branntepper
39525500,"Mosquito nets",Myggnett
39525600,Dishcloths,Oppvaskkluter
39525700,"Life belts",Livbelter
39525800,"Cleaning cloths",Rengjøringskluter
39525810,"Polishing cloths",Pussekluter
39530000,"Carpets, mats and rugs","Tepper, dørmatter og ryer"
39531000,Carpets,Gulvtepper
39531100,"Knotted carpeting","Knyttede tepper"
39531200,"Woven carpeting","Vevde tepper"
39531300,"Tufted carpeting","Tuftede tepper"
39531310,"Carpet tiles",Teppefliser
39531400,Carpeting,Teppebelegg
39532000,Mats,Dørmatter
39533000,Rugs,"Mindre tepper/ryer"
39534000,"Industrial carpeting","Tepper til industriell bruk"
39540000,"Miscellaneous cordage, rope, twine and netting","Diverse rep, tauverk, hyssing og nett"
39541000,"Cordage, rope, twine and netting","Tauverk, rep, hyssing og garn"
39541100,"Twine, cordage and rope","Hyssing, rep og tauverk"
39541110,Rope,Rep
39541120,Cordage,Tauverk
39541130,String,Snøre
39541140,Twine,Hyssing
39541200,"Textile nets","Garn av tekstilmaterialer"
39541210,"Knotted nets","Knyttede garn"
39541220,Slings,Løftestropper
39542000,Rags,Kluter
39550000,"Non-woven articles","Uvevde artikler"
39560000,"Miscellaneous textile articles","Diverse tekstilvarer"
39561000,"Tulle, lace, narrow-woven fabrics, trimmings and embroidery","Tyll, blonder, kniplinger, vevde bånd, besetningsartikler og broderier"
39561100,"Narrow-woven fabrics; trimmings","Vevde bånd kantbånd"
39561110,Ribbon,Bånd
39561120,"Textile tape",Tekstilbånd
39561130,"Textile labels and badges","Etiketter og merker av tekstil"
39561131,"Textile labels","Etiketter av tekstil"
39561132,"Textile badges","Merker av tekstil"
39561133,Insignia,Insignier
39561140,"Ornamental trimmings",Pyntebånd
39561141,Braids,"Flettede snorer"
39561142,Epaulettes,Epauletter
39561200,"Net fabrics",Nettstoffer
39562000,Felt,Filt
39563000,"Textile wadding, yarns, fabrics and articles for technical uses","Tekstilvattering, garn, stoffer og produkter til teknisk bruk"
39563100,"Textile wadding",Tekstilvattering
39563200,"Metallised yarn","Metallisert garn"
39563300,"Woven fabrics of metal thread","Vevet stoff av metalltråd"
39563400,"Impregnated, coated or covered textile fabrics","Impregnerte, overtrukne eller belagte tekstilstoffer"
39563500,"Textile articles for technical uses","Tekstilvarer til teknisk bruk"
39563510,"Textile hosepiping","Slanger av tekstilmaterialer"
39563520,"Textile conveyor belts","Transportbånd av tekstilmaterialer"
39563530,"Ventilation ducting","Ventilasjonskanaler av tekstilmaterialer"
39563600,"Quilted textile products","Vatterte tekstilprodukter"
39700000,"Domestic appliances",Husholdningsapparater
39710000,"Electrical domestic appliances","Elektriske husholdningsapparater"
39711000,"Electrical domestic appliances for use with foodstuffs","Elektriske husholdningsapparater til matvarebruk"
39711100,"Refrigerators and freezers","Kjøleskap og frysere"
39711110,Refrigerator-freezers,"Kombinerte kjøle- og fryseskap"
39711120,Freezers,Frysere
39711121,"Chest-type freezers",Frysebokser
39711122,"Household freezers",Husholdningsfrysere
39711123,"Upright-type freezers",Fryseskap
39711124,"Industrial freezers",Industrifrysere
39711130,Refrigerators,Kjøleskap
39711200,"Food processors",Food-prosessorer
39711210,"Food blenders",Stavmikser
39711211,"Food mixers","Blandemaskiner, kjøkkenmaskin"
39711300,"Electrothermic appliances","Elektrotermiske apparater"
39711310,"Electric coffee makers","Elektriske kaffemaskiner"
39711320,"Electric tea makers","Elektriske temaskiner"
39711330,"Electric toasters","Elektriske brødristere"
39711340,"Plate warmers",Tallerkenvarmere
39711350,"Waffle irons",Vaffeljern
39711360,Ovens,Ovner
39711361,"Electric ovens","Elektriske ovner"
39711362,"Microwave ovens",Mikrobølgeovner
39711400,"Roasters, hobs, hotplates and boiling rings","Griller, kokeplater, varmeplater og kokespiraler"
39711410,Roasters,Griller
39711420,Hobs,Kokeplater
39711430,Hotplates,Varmeplater
39711440,"Boiling rings",Kokespiraler
39711500,"Can openers",Boksåpnere
39712000,"Electrical domestic appliances for use with the human body","Elektriske husholdningsapparater til personlig pleie"
39712100,"Hair clippers",Hårtrimmere
39712200,"Hairdressing appliances","Apparater til hårpleie"
39712210,"Hair dryers",Hårtørkere
39712300,"Hand-drying apparatus",Håndtørkeapparater
39713000,"Electrical domestic appliances for cleaning; smoothing irons","Elektriske husholdningsapparater til rengjøring; strykejern"
39713100,"Dishwashing machines",Oppvaskmaskiner
39713200,"Clothes-washing and drying machines","Vaske- og tørkemaskiner til tøy"
39713210,Washer/dryers,Vaske-/tørkemaskiner
39713211,"Drying and pressing unit","Tørke- og presseenheter"
39713300,"Rubbish compactors",Avfallskomprimatorer
39713400,"Floor-maintenance machines","Maskiner til vedlikehold av gulv"
39713410,"Floor-cleaning machines",Gulvrengjøringsmaskiner
39713420,"Floor polishers",Bonemaskiner
39713430,"Vacuum cleaners",Støvsugere
39713431,"Accessories for vacuum cleaners","Tilbehør til støvsugere"
39713500,"Electric irons","Elektriske strykejern"
39713510,"Steam irons",Dampstrykejern
39714000,"Ventilating or recycling hoods","Ventilator- eller resirkulasjonshetter"
39714100,Ventilators,Ventilatorer
39714110,"Extraction ventilators",Avtrekksventilatorer
39715000,"Water heaters and heating for buildings; plumbing equipment","Vannvarmere og bygningsoppvarming; sanitært utstyr"
39715100,"Electric instantaneous or storage water heaters and immersion heaters","Elektriske varmtvannsberedere eller -beholdere og varmekolber"
39715200,"Heating equipment",Oppvarmingsutstyr
39715210,"Central-heating equipment","Utstyr til sentralvarme"
39715220,"Electric heating resistors","Elektrisk varmemotstand"
39715230,"Electric soil-heating apparatus","Elektrisk jordoppvarmingsutstyr"
39715240,"Electric space-heating apparatus","Elektriske apparater til romoppvarming"
39715300,"Plumbing equipment","Sanitært utstyr"
39716000,"Parts of electrical domestic appliances","Deler til elektriske husholdningsapparater"
39717000,"Fans and air-conditioning appliances","Vifter og luftkondisjoneringsanlegg"
39717100,Fans,Vifter
39717200,"Air-conditioning appliances",Luftkondisjoneringsanlegg
39720000,"Non-electric domestic appliances","Ikke- elektriske husholdningsapparater"
39721000,"Domestic cooking or heating equipment","Husholdningsapparater til matlaging eller oppvarming"
39721100,"Domestic cooking appliances","Husholdningsapparater til matlaging"
39721200,"Gas refrigerators",Gasskjøleskap
39721300,"Non-electric air heaters or hot air-distributors","Ikke-elektriske varmluftgeneratorer eller -vifter"
39721310,"Air heaters",Varmluftgeneratorer
39721320,"Air dryers",Lufttørkere
39721321,"Compressed-air dryers",Trykkluftstørkere
39721400,"Instantaneous or storage non-electric water heaters","Ikke- elektriske varmtvannsberedere eller beholdere"
39721410,"Gas appliances",Gassapparater
39721411,"Gas heaters",Gassvarmere
39722000,"Parts of stoves, cookers, plate warmers and domestic appliances","Deler til ovner, komfyrer, tallerkenvarmere og husholdningsapparater"
39722100,"Parts of stoves","Deler til ovner"
39722200,"Parts of cookers","Deler til komfyrer"
39722300,"Parts of plate warmers","Deler til tallerkenvarmere"
39800000,"Cleaning and polishing products","Renholds- og boningsartikler"
39810000,"Odoriferous preparations and waxes","Duftpreparater og voks"
39811000,"Preparations for perfuming or deodorising rooms","Preparater til parfymering eller deodorisering av rom"
39811100,"Air freshener",Luktfjernere
39811110,"Air freshener dispensers",Luktfjernerdispensere
39811200,"Air sanitisers",Luftrensere
39811300,Deodorisers,"Luktfjernere, parfymerte"
39812000,"Polishes and creams","Pusse- og polermidler"
39812100,"Floor polishes",Bonevoks
39812200,"Shoe polishes",Skosverte
39812300,"Polishing waxes","Poleringsmidler med voks"
